idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
1.000000000000000000e+00,1.293333333333333279e-01,6.084375012971651731e-02,2.167547740405386530e-02,6.781862588839615569e-02,2.381668055591446703e-02
1.000000000000000000e+00,1.406666666666666621e-01,5.512517528614233053e-02,1.897155524651914296e-02,6.156473934871709019e-02,2.051654890780946205e-02
1.000000000000000000e+00,1.519999999999999962e-01,5.021615336707071359e-02,1.662951319751361512e-02,5.624089349695113316e-02,1.801582316687035459e-02
1.000000000000000000e+00,1.633333333333333304e-01,4.601237201966273255e-02,1.450383820392639640e-02,5.167968807768585915e-02,1.573985769165116982e-02
1.000000000000000000e+00,1.746666666666666645e-01,4.237559777073267309e-02,1.261956131179423589e-02,4.773271547703106243e-02,1.371812817821774742e-02
1.000000000000000000e+00,1.859999999999999987e-01,3.920743399014615244e-02,1.098291293030275763e-02,4.429449351283123310e-02,1.195906166974809379e-02
1.000000000000000000e+00,1.973333333333333051e-01,3.643289714213705788e-02,9.586092272847910115e-03,4.128482641833798594e-02,1.045551948846360109e-02
1.000000000000000000e+00,2.086666666666666670e-01,3.399213527657802408e-02,8.412353323972356772e-03,3.863982222252790311e-02,9.190347536501091569e-03
1.000000000000000000e+00,2.200000000000000011e-01,3.183602692331979900e-02,7.440087360351976299e-03,3.630707205815942445e-02,8.140755130892737140e-03
2.000000000000000000e+00,5.000000000000000278e-02,1.575514335747096872e-01,3.333876466353508788e-02,1.714743342939177573e-01,3.501660937706919940e-02
2.000000000000000000e+00,6.133333333333333692e-02,1.620925744157054593e-01,3.612735086868496676e-02,1.763585410616863858e-01,3.799935305566560367e-02
2.000000000000000000e+00,7.266666666666667107e-02,1.323197713103959894e-01,3.431909646366682748e-02,1.446039345879037707e-01,3.619407006547781941e-02
2.000000000000000000e+00,8.399999999999999134e-02,1.083398028638266064e-01,3.190957153520471851e-02,1.189551379275497894e-01,3.382904648305400108e-02
2.000000000000000000e+00,9.533333333333332549e-02,9.145065460332914287e-02,2.931832168227346824e-02,1.008214405918254480e-01,3.126440286170804189e-02
2.000000000000000000e+00,1.066666666666666596e-01,7.927487065790550513e-02,2.663397457053183481e-02,8.769947997074126200e-02,2.855850313296185577e-02
2.000000000000000000e+00,1.179999999999999938e-01,7.006032373068006580e-02,2.391567415096593555e-02,7.773870575670166483e-02,2.577207240316228831e-02
2.000000000000000000e+00,1.293333333333333279e-01,6.275936774921266059e-02,2.123608031468595184e-02,6.982571261284339914e-02,2.298940424611456076e-02
2.000000000000000000e+00,1.406666666666666621e-01,5.596625132217378229e-02,1.874533114303734288e-02,6.225002297606165025e-02,2.035893035563885942e-02
2.000000000000000000e+00,1.519999999999999962e-01,5.101023148832672938e-02,1.637692941092207949e-02,5.686274017090624244e-02,1.785665910861015948e-02
2.000000000000000000e+00,1.633333333333333304e-01,4.676842411457625415e-02,1.423189432882921573e-02,5.223907804701068830e-02,1.557621423316971412e-02
2.000000000000000000e+00,1.746666666666666645e-01,4.309785354175173916e-02,1.233510257472397557e-02,4.822660189377932227e-02,1.354839398992166086e-02
2.000000000000000000e+00,1.859999999999999987e-01,3.989746343952919883e-02,1.069243752145891159e-02,4.471813204338726672e-02,1.178312846467515287e-02
2.000000000000000000e+00,1.973333333333333051e-01,3.709095884212715993e-02,9.295852198438127323e-03,4.163318899708830234e-02,1.027491721925634025e-02
2.000000000000000000e+00,2.086666666666666670e-01,3.461789433680786954e-02,8.128376997024011619e-03,3.890828627029541131e-02,9.008147883927978758e-03
2.000000000000000000e+00,2.200000000000000011e-01,3.242896880458782244e-02,7.168108722252319008e-03,3.649172665883942956e-02,7.961295675297401508e-03
3.000000000000000000e+00,5.000000000000000278e-02,1.556057278151221634e-01,3.467957368835609261e-02,1.691291010791844962e-01,3.641828735963677233e-02
3.000000000000000000e+00,6.133333333333333692e-02,1.601068823650763917e-01,3.735786093653183787e-02,1.739668855800297065e-01,3.934349841957043847e-02
3.000000000000000000e+00,7.266666666666667107e-02,1.306859158577501345e-01,3.548904407598969107e-02,1.425863679318288002e-01,3.745725811752272094e-02
3.000000000000000000e+00,8.399999999999999134e-02,1.070431580583895703e-01,3.294556811693947346e-02,1.173063285470822559e-01,3.492026690574231290e-02
3.000000000000000000e+00,9.533333333333332549e-02,9.039311498302009251e-02,3.019653487972046371e-02,9.943598459529170985e-02,3.215769527755900359e-02
3.000000000000000000e+00,1.066666666666666596e-01,7.838647314497039498e-02,2.736305674182156270e-02,8.650827004546637888e-02,2.927135521209938904e-02
3.000000000000000000e+00,1.179999999999999938e-01,6.929660999954855016e-02,2.451201450576473428e-02,7.669659017030769355e-02,2.633093125876517782e-02
3.000000000000000000e+00,1.293333333333333279e-01,6.209104022836496595e-02,2.171528087294641654e-02,6.890256392786453521e-02,2.341898302039333371e-02
