idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
1.000000000000000000e+00,8.399999999999999134e-02,2.205882671351584289e-03,3.185677095369324240e-04,8.430374073921179101e-03,2.364588721643740791e-03
1.000000000000000000e+00,9.533333333333332549e-02,2.205888398699467137e-03,3.185713350712158056e-04,8.430437550067254593e-03,2.364611727218820722e-03
1.000000000000000000e+00,1.066666666666666596e-01,2.205898156512632255e-03,3.185756242732780148e-04,8.430512883387078146e-03,2.364638730180806947e-03
1.000000000000000000e+00,1.179999999999999938e-01,2.205912054548467283e-03,3.185805782088924434e-04,8.430599997894559078e-03,2.364669616840466091e-03
1.000000000000000000e+00,1.293333333333333279e-01,2.205930349744731917e-03,3.185862510340834830e-04,8.430699817172317492e-03,2.364704654596950888e-03
1.000000000000000000e+00,1.406666666666666621e-01,2.205953483685388263e-03,3.185927333051672685e-04,8.430813953453769605e-03,2.364744366260568102e-03
1.000000000000000000e+00,1.519999999999999962e-01,2.205982051679589422e-03,3.186001371874384305e-04,8.430944436868904879e-03,2.364789427597159023e-03
1.000000000000000000e+00,1.633333333333333304e-01,2.206016755330227497e-03,3.186085850362932914e-04,8.431093507867861228e-03,2.364840590612781769e-03
1.000000000000000000e+00,1.746666666666666645e-01,2.206058357875536821e-03,3.186182013246463031e-04,8.431263470757812545e-03,2.364898629729420346e-03
1.000000000000000000e+00,1.859999999999999987e-01,2.206107648075309683e-03,3.186291072757862510e-04,8.431456596152259869e-03,2.364964305905734553e-03
1.000000000000000000e+00,1.973333333333333051e-01,2.206165413232091723e-03,3.186414174841615946e-04,8.431675059179088300e-03,2.365038343931922735e-03
1.000000000000000000e+00,2.086666666666666670e-01,2.206232420217876800e-03,3.186552379310418300e-04,8.431920902697058462e-03,2.365121419048463441e-03
1.000000000000000000e+00,2.200000000000000011e-01,2.206309402978696467e-03,3.186706649595345484e-04,8.432196017607846913e-03,2.365214150025811250e-03
2.000000000000000000e+00,5.000000000000000278e-02,9.678194492180251622e-04,1.028947139492937627e-04,4.793356764131616841e-03,1.314176484324250209e-03
2.000000000000000000e+00,6.133333333333333692e-02,9.678103692925093789e-04,1.028950149988833439e-04,4.793357429373068176e-03,1.314176001419765363e-03
