idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,crashed
1.000000000000000000e+00,2.000000000000000111e-01,9.108655506495359766e-03,2.874550779647811068e-04,1.020811363201153468e-02,2.801102161640153711e-04,0.000000000000000000e+00
1.000000000000000000e+00,2.666666666666666630e-01,9.083697672228470757e-03,2.877672141839596556e-04,1.020514883679760933e-02,2.810097072336114428e-04,0.000000000000000000e+00
1.000000000000000000e+00,3.333333333333333148e-01,9.122362962012048326e-03,3.187205352658250830e-04,1.027525220634671263e-02,3.124569972416967913e-04,0.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000222e-01,9.142750999170829243e-03,3.271402730522722144e-04,1.032646872662362422e-02,3.271061954073796983e-04,0.000000000000000000e+00
1.000000000000000000e+00,4.666666666666666741e-01,9.172062993596600752e-03,3.378253138647601219e-04,1.037998522976766279e-02,3.444409734541296984e-04,0.000000000000000000e+00
1.000000000000000000e+00,5.333333333333333259e-01,9.208817680802134503e-03,3.347900018569864729e-04,1.043486599030288287e-02,3.469121058962061394e-04,0.000000000000000000e+00
1.000000000000000000e+00,5.999999999999999778e-01,9.268734832445585381e-03,3.300485207042368847e-04,1.050785209743177948e-02,3.464884334166796554e-04,0.000000000000000000e+00
1.000000000000000000e+00,6.666666666666666297e-01,9.357762181679645658e-03,3.239987717582014913e-04,1.060645578724036739e-02,3.439492056049378295e-04,0.000000000000000000e+00
1.000000000000000000e+00,7.333333333333332815e-01,9.490982649877348354e-03,3.176016461026131806e-04,1.074859106141207513e-02,3.411019621510131172e-04,0.000000000000000000e+00
1.000000000000000000e+00,8.000000000000000444e-01,9.697259165942740192e-03,3.117651818654774650e-04,1.096822329565865298e-02,3.418940600031959644e-04,0.000000000000000000e+00
1.000000000000000000e+00,8.666666666666666963e-01,1.007503393859321764e-02,3.495754188256555532e-04,1.137866002221802307e-02,4.043432136208758047e-04,0.000000000000000000e+00
1.000000000000000000e+00,9.333333333333333481e-01,1.683655798478003035e-02,1.149574439017720870e-02,1.929145365644818061e-02,1.351839484949752049e-02,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.241995879345519110e-02,1.724917053213849416e-02,4.888261150733250876e-02,1.834584916660788462e-02,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.162074230644765185e-02,2.145458475349957032e-04,1.387658318035292840e-02,3.952187104420852842e-04,0.000000000000000000e+00
2.000000000000000000e+00,6.666666666666666574e-02,1.151775480213856895e-02,1.934503881498060649e-04,1.379680915031429068e-02,3.775379539412720043e-04,0.000000000000000000e+00
