idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
0.000000000000000000e+00,8.666666666666666963e-01,3.837442123039828262e-02,6.679978851715069610e-03,4.296139160260025597e-02,7.499408526247171650e-03
0.000000000000000000e+00,9.333333333333333481e-01,3.559671331292998259e-02,6.053144743274048965e-03,3.995446707412995957e-02,6.808447256513318856e-03
0.000000000000000000e+00,1.000000000000000000e+00,3.324269489781356279e-02,5.538801949153163498e-03,3.741095568992553605e-02,6.238868160416685855e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.114505086579736792e-01,3.082462940985923258e-02,1.217961467829607736e-01,3.250570641659750876e-02
1.000000000000000000e+00,6.666666666666666574e-02,1.330715800234613666e-01,3.383090820247151853e-02,1.449483450280232844e-01,3.560015529012984514e-02
1.000000000000000000e+00,1.333333333333333315e-01,1.400973727305802885e-01,2.993009609916577954e-02,1.525299595097336092e-01,3.156054053941405313e-02
1.000000000000000000e+00,2.000000000000000111e-01,1.330140852325629452e-01,2.466721760250351753e-02,1.450526195721305589e-01,2.615290080116576890e-02
1.000000000000000000e+00,2.666666666666666630e-01,1.182541217245909188e-01,2.221853085557520813e-02,1.293187213337867458e-01,2.364649607926717217e-02
1.000000000000000000e+00,3.333333333333333148e-01,1.017384299789063223e-01,2.066182548139722935e-02,1.116220790535768781e-01,2.202577885496137880e-02
1.000000000000000000e+00,4.000000000000000222e-01,8.668118430472063207e-02,1.847527549623522933e-02,9.541749545546772404e-02,1.973696331465368825e-02
1.000000000000000000e+00,4.666666666666666741e-01,7.416749694065724596e-02,1.591900293576680239e-02,8.189844605319548942e-02,1.705997201351191692e-02
1.000000000000000000e+00,5.333333333333333259e-01,6.308262612719017781e-02,1.440719323142815832e-02,6.973573604912981783e-02,1.562510042427908696e-02
1.000000000000000000e+00,5.999999999999999778e-01,5.534077084494046228e-02,1.217841777452940283e-02,6.133828737242321555e-02,1.326026891261154229e-02
1.000000000000000000e+00,6.666666666666666297e-01,4.922391695419042063e-02,1.038536545745616206e-02,5.469266403267604437e-02,1.134913060884793976e-02
1.000000000000000000e+00,7.333333333333332815e-01,4.433861948890350374e-02,8.971142374277736933e-03,4.937949062396250477e-02,9.833449100229972942e-03
1.000000000000000000e+00,8.000000000000000444e-01,4.038074282337757864e-02,7.857508424914488171e-03,4.507308951029920241e-02,8.632636225782312073e-03
1.000000000000000000e+00,8.666666666666666963e-01,3.712504857590109147e-02,6.973718150907080512e-03,4.153128834910805450e-02,7.673689585024168029e-03
1.000000000000000000e+00,9.333333333333333481e-01,3.440701336076217726e-02,6.263642810696105553e-03,3.857651174371338337e-02,6.898558194037525577e-03
1.000000000000000000e+00,1.000000000000000000e+00,3.210638397790074872e-02,5.685018127853430983e-03,3.607850191336294671e-02,6.263395008859038229e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.101146447571512560e-01,3.103532030608386477e-02,1.204184286081812216e-01,3.278372425562083720e-02
2.000000000000000000e+00,6.666666666666666574e-02,1.316445035458226331e-01,3.410270549256500666e-02,1.434142725751516023e-01,3.589482091207086417e-02
2.000000000000000000e+00,1.333333333333333315e-01,1.385943937492471190e-01,3.037886733861732552e-02,1.508514389998688310e-01,3.189002020952753230e-02
2.000000000000000000e+00,2.000000000000000111e-01,1.314725729477443927e-01,2.550293560127588413e-02,1.433032102456397450e-01,2.673763407666542025e-02
2.000000000000000000e+00,2.666666666666666630e-01,1.167502779949698560e-01,2.339087755518261605e-02,1.276194995422600120e-01,2.456662568615647010e-02
2.000000000000000000e+00,3.333333333333333148e-01,1.003306163002449930e-01,2.193146027629950395e-02,1.100575397525619531e-01,2.311033748217451375e-02
2.000000000000000000e+00,4.000000000000000222e-01,8.537657834058881567e-02,1.970389594089375779e-02,9.399291972660776817e-02,2.083727202584818861e-02
2.000000000000000000e+00,4.666666666666666741e-01,7.296178791297834587e-02,1.706325667578093702e-02,8.059704262463128488e-02,1.811340181902078988e-02
2.000000000000000000e+00,5.333333333333333259e-01,6.378650908337252234e-02,1.369480423889151560e-02,7.043004123010576656e-02,1.454168412967980946e-02
2.000000000000000000e+00,5.999999999999999778e-01,5.592197414098273867e-02,1.167711928690036774e-02,6.188684493000737308e-02,1.244466555043679049e-02
2.000000000000000000e+00,6.666666666666666297e-01,4.970664657356881760e-02,1.004417585499216628e-02,5.511434193193289616e-02,1.074291829089018928e-02
2.000000000000000000e+00,7.333333333333332815e-01,4.473915698921190898e-02,8.748260864752216773e-03,4.968713388449494395e-02,9.388314949952136085e-03
2.000000000000000000e+00,8.000000000000000444e-01,4.071083832878438780e-02,7.721306538816327322e-03,4.527630563474192849e-02,8.311272938641860175e-03
2.000000000000000000e+00,8.666666666666666963e-01,3.739364275287262313e-02,6.901030564850575005e-03,4.163774036502716769e-02,7.447924327668828566e-03
2.000000000000000000e+00,9.333333333333333481e-01,3.462114272666266812e-02,6.237709265483268317e-03,3.859256790936119869e-02,6.747176932081502820e-03
2.000000000000000000e+00,1.000000000000000000e+00,3.227173583506141863e-02,5.693740733928540423e-03,3.600959702981054028e-02,6.170326919221115307e-03
3.000000000000000000e+00,0.000000000000000000e+00,1.077416556110818990e-01,2.971476719238359473e-02,1.182020139692680910e-01,3.152466993106498722e-02
3.000000000000000000e+00,6.666666666666666574e-02,1.286776934941388228e-01,3.226028646761910229e-02,1.406358842247120711e-01,3.410875177290333821e-02
3.000000000000000000e+00,1.333333333333333315e-01,1.354374804372504848e-01,2.817652519593378049e-02,1.478727544129257720e-01,2.971470315162214743e-02
3.000000000000000000e+00,2.000000000000000111e-01,1.285389612033024653e-01,2.318909252942943228e-02,1.405045289552067367e-01,2.441211116805415762e-02
3.000000000000000000e+00,2.666666666666666630e-01,1.142392531236449127e-01,2.123580564425113851e-02,1.251879382059131740e-01,2.237401686812004811e-02
3.000000000000000000e+00,3.333333333333333148e-01,9.825590873226731914e-02,2.003067877415416406e-02,1.080116311879580349e-01,2.115937241848498546e-02
3.000000000000000000e+00,4.000000000000000222e-01,8.368010521819591041e-02,1.804555856839440420e-02,9.229257581185679182e-02,1.912442828442137074e-02
3.000000000000000000e+00,4.666666666666666741e-01,7.156688833691002283e-02,1.561183364184999534e-02,7.918161227066405905e-02,1.660512381145066996e-02
3.000000000000000000e+00,5.333333333333333259e-01,6.278439656795813117e-02,1.321703029818541500e-02,6.950967146924297291e-02,1.397345315996717345e-02
3.000000000000000000e+00,5.999999999999999778e-01,5.509622277095337084e-02,1.124674253183593868e-02,6.114184504497866685e-02,1.193343596165176435e-02
3.000000000000000000e+00,6.666666666666666297e-01,4.902152311995051220e-02,9.647560033119648853e-03,5.450934567066201969e-02,1.027231069659217608e-02
3.000000000000000000e+00,7.333333333333332815e-01,4.416778086440576595e-02,8.375862013009011814e-03,4.919602020766002809e-02,8.947256467831669891e-03
3.000000000000000000e+00,8.000000000000000444e-01,4.023321794980502103e-02,7.366691890887496451e-03,4.487996238518374148e-02,7.892497432912893088e-03
3.000000000000000000e+00,8.666666666666666963e-01,3.699483093159513375e-02,6.559956621463437602e-03,4.132209760602927051e-02,7.046768837771608292e-03
3.000000000000000000e+00,9.333333333333333481e-01,3.428984488907840106e-02,5.907358008579110219e-03,3.834711040517101155e-02,6.360643718922792851e-03
3.000000000000000000e+00,1.000000000000000000e+00,3.199925605401574003e-02,5.372200261505649319e-03,3.582630483689846351e-02,5.796440057605092497e-03
4.000000000000000000e+00,0.000000000000000000e+00,1.066097249577872552e-01,3.178230681649622108e-02,1.167534789333748158e-01,3.360763467540706789e-02
4.000000000000000000e+00,6.666666666666666574e-02,1.314755574054671250e-01,3.701975979383816812e-02,1.437974564958819923e-01,3.835839315651701220e-02
4.000000000000000000e+00,1.333333333333333315e-01,1.337746621523495660e-01,2.946465460206124792e-02,1.451446908007680281e-01,3.099304275320854951e-02
4.000000000000000000e+00,2.000000000000000111e-01,1.302450505865100916e-01,2.705077368134406121e-02,1.425168039410882048e-01,2.883504527821264402e-02
4.000000000000000000e+00,2.666666666666666630e-01,1.130361536526236499e-01,2.083435317094849831e-02,1.236630605581341552e-01,2.229362948203980968e-02
4.000000000000000000e+00,3.333333333333333148e-01,9.807404424138574384e-02,2.143150989250578245e-02,1.077778578416764971e-01,2.265632045138622069e-02
4.000000000000000000e+00,4.000000000000000222e-01,8.536674222329838913e-02,2.032164060520993271e-02,9.427668729458663077e-02,2.135875833494876169e-02
4.000000000000000000e+00,4.666666666666666741e-01,7.248081137560459519e-02,1.898936017141134025e-02,7.996843808640420603e-02,2.004766123972394690e-02
4.000000000000000000e+00,5.333333333333333259e-01,6.412201640328500651e-02,1.324388246833098186e-02,7.126491570546014676e-02,1.440171475755548484e-02
4.000000000000000000e+00,5.999999999999999778e-01,5.435283030690193223e-02,9.980677142476279337e-03,6.035973764933218882e-02,1.101941860580472540e-02
4.000000000000000000e+00,6.666666666666666297e-01,5.075446608997748188e-02,1.094439403638698162e-02,5.688165062894324359e-02,1.143446895449244313e-02
4.000000000000000000e+00,7.333333333333332815e-01,4.403953153404788212e-02,1.032604616317558954e-02,4.932567361677785145e-02,1.104846180961384199e-02
4.000000000000000000e+00,8.000000000000000444e-01,4.153908378175377031e-02,8.591456809576203738e-03,4.682740218471696803e-02,8.890090792961038643e-03
4.000000000000000000e+00,8.666666666666666963e-01,3.782685073243306079e-02,7.294115126763967699e-03,4.264894445216626390e-02,7.645254064688483502e-03
4.000000000000000000e+00,9.333333333333333481e-01,3.504867783774657380e-02,7.293468282891117649e-03,3.964677310046663128e-02,7.913757007820964792e-03
4.000000000000000000e+00,1.000000000000000000e+00,3.273642910306499842e-02,6.602684610681430928e-03,3.716666728118619978e-02,6.879604301372653496e-03
5.000000000000000000e+00,0.000000000000000000e+00,1.110091717426600622e-01,2.902154682989682363e-02,1.213452201886336679e-01,3.050425414247880454e-02
5.000000000000000000e+00,6.666666666666666574e-02,1.328071905084325377e-01,3.133725796412641096e-02,1.446117311627447832e-01,3.272683995523371220e-02
5.000000000000000000e+00,1.333333333333333315e-01,1.393445974971793400e-01,2.859265651280975401e-02,1.516517840658768990e-01,2.968680903343370175e-02
5.000000000000000000e+00,2.000000000000000111e-01,1.322984588939797590e-01,2.255494246182392082e-02,1.442544821451633152e-01,2.357128152325527887e-02
5.000000000000000000e+00,2.666666666666666630e-01,1.178739098452471906e-01,2.103490471092039210e-02,1.288171090970786081e-01,2.209003541699885304e-02
5.000000000000000000e+00,3.333333333333333148e-01,1.002721497251676114e-01,2.088687222880280386e-02,1.100119083110316087e-01,2.198547808068555820e-02
5.000000000000000000e+00,4.000000000000000222e-01,8.672667034932196595e-02,1.912517513835457900e-02,9.527992129390752685e-02,2.014770528156376028e-02
5.000000000000000000e+00,4.666666666666666741e-01,7.314126217446334510e-02,1.643247974520299984e-02,8.082993455958438489e-02,1.738441634115298409e-02
5.000000000000000000e+00,5.333333333333333259e-01,6.241881610264437413e-02,1.408380688612908931e-02,6.918225654543413983e-02,1.523126426897793845e-02
5.000000000000000000e+00,5.999999999999999778e-01,5.436863232016419384e-02,1.132079907451565698e-02,6.038420434184506996e-02,1.222299896521490681e-02
5.000000000000000000e+00,6.666666666666666297e-01,4.874628369999938621e-02,9.924382222227275466e-03,5.421190069057459787e-02,1.076801275253582747e-02
5.000000000000000000e+00,7.333333333333332815e-01,4.358062120858326172e-02,8.810431137228983897e-03,4.856558512806752326e-02,9.601838819060102420e-03
5.000000000000000000e+00,8.000000000000000444e-01,3.970123961059673912e-02,7.745600646382000930e-03,4.430001326767350756e-02,8.471803045763452028e-03
5.000000000000000000e+00,8.666666666666666963e-01,3.694388521553104016e-02,7.190588119595952427e-03,4.123158247948761207e-02,7.850822648957700434e-03
5.000000000000000000e+00,9.333333333333333481e-01,3.381410236314678214e-02,6.267973736956415631e-03,3.796428888469600277e-02,6.887158447849057313e-03
5.000000000000000000e+00,1.000000000000000000e+00,3.177414260832478465e-02,6.049177025053280830e-03,3.552865642748914005e-02,6.659811770807327544e-03
6.000000000000000000e+00,0.000000000000000000e+00,1.107965647837272916e-01,3.059391427717165698e-02,1.212338352551663029e-01,3.194117886977908272e-02
6.000000000000000000e+00,6.666666666666666574e-02,1.314092447783186124e-01,3.252307258189700984e-02,1.429883869188356138e-01,3.440995932727685530e-02
6.000000000000000000e+00,1.333333333333333315e-01,1.392469436818064010e-01,2.879228235119398252e-02,1.517543209714370678e-01,3.013651877633401893e-02
6.000000000000000000e+00,2.000000000000000111e-01,1.323191115019082820e-01,2.402385936212841563e-02,1.443469344344576744e-01,2.514572175391269898e-02
6.000000000000000000e+00,2.666666666666666630e-01,1.177755478047769755e-01,2.248996865790747757e-02,1.287633593171262081e-01,2.360005113871135526e-02
6.000000000000000000e+00,3.333333333333333148e-01,1.001223210919570533e-01,2.222091192266801088e-02,1.100649355040545230e-01,2.375903440024931118e-02
6.000000000000000000e+00,4.000000000000000222e-01,8.564652557383420350e-02,1.811135743739100343e-02,9.378514445433762392e-02,1.935038229365423218e-02
6.000000000000000000e+00,4.666666666666666741e-01,7.334266433663165496e-02,1.765710561063570105e-02,8.121091662097819353e-02,1.956827703114855793e-02
6.000000000000000000e+00,5.333333333333333259e-01,6.235058471798544943e-02,1.287822522737043333e-02,6.884036876418082873e-02,1.411823297273384972e-02
6.000000000000000000e+00,5.999999999999999778e-01,5.524186458099369923e-02,1.207704885360602783e-02,6.135843037580864662e-02,1.300506880207694983e-02
6.000000000000000000e+00,6.666666666666666297e-01,4.870080435400254287e-02,9.449549035340783915e-03,5.404192784264025273e-02,1.044371847012303019e-02
6.000000000000000000e+00,7.333333333333332815e-01,4.388866661356605886e-02,8.222969378670457949e-03,4.881133543782699424e-02,9.112175732469427261e-03
6.000000000000000000e+00,8.000000000000000444e-01,3.998834325884347007e-02,7.254395270349590225e-03,4.456992219583783693e-02,8.054617347592395865e-03
6.000000000000000000e+00,8.666666666666666963e-01,3.754560438150894575e-02,7.081422994259353211e-03,4.193772863422578351e-02,7.884119935001484419e-03
6.000000000000000000e+00,9.333333333333333481e-01,3.435422279458031497e-02,6.257591421731260872e-03,3.853461484832795131e-02,7.048419269783258445e-03
6.000000000000000000e+00,1.000000000000000000e+00,3.241095484569689322e-02,6.185932782935425582e-03,3.629401525209896562e-02,6.596372239544337143e-03
7.000000000000000000e+00,0.000000000000000000e+00,1.096565549489006142e-01,3.300849647656223934e-02,1.194856134470769771e-01,3.436145194791803692e-02
7.000000000000000000e+00,6.666666666666666574e-02,1.313283624846336428e-01,3.434448353531556475e-02,1.429667199261702992e-01,3.651523965871406735e-02
7.000000000000000000e+00,1.333333333333333315e-01,1.375520024610791536e-01,3.183088523041165130e-02,1.494752531508241056e-01,3.322146847724644081e-02
7.000000000000000000e+00,2.000000000000000111e-01,1.305235061766619742e-01,2.589719489573064082e-02,1.415408507848610609e-01,2.682332011796114551e-02
7.000000000000000000e+00,2.666666666666666630e-01,1.158600139802873213e-01,2.255625378399979050e-02,1.260785887708796849e-01,2.349123373213786795e-02
7.000000000000000000e+00,3.333333333333333148e-01,1.000993317196491039e-01,1.933197457858576787e-02,1.091270384094639723e-01,2.062099132421972569e-02
7.000000000000000000e+00,4.000000000000000222e-01,8.415432218091731253e-02,1.819876387530750678e-02,9.249282952556590887e-02,1.915159034508413100e-02
7.000000000000000000e+00,4.666666666666666741e-01,7.284006968704095919e-02,1.583023292029136012e-02,8.040862266556778049e-02,1.674733437396796684e-02
7.000000000000000000e+00,5.333333333333333259e-01,6.295358061116344828e-02,1.386843144959998102e-02,6.963691443470139408e-02,1.473573549110203731e-02
7.000000000000000000e+00,5.999999999999999778e-01,5.524011508704309431e-02,1.048552167580607021e-02,6.105870560645551559e-02,1.115437514509394837e-02
7.000000000000000000e+00,6.666666666666666297e-01,4.896235275650650393e-02,1.040651387658333114e-02,5.439216858901613910e-02,1.118322507125075679e-02
7.000000000000000000e+00,7.333333333333332815e-01,4.399247452079249610e-02,8.746433517004874314e-03,4.909087172235393481e-02,9.286439224360960865e-03
7.000000000000000000e+00,8.000000000000000444e-01,4.006558960116134160e-02,7.736260215125276979e-03,4.480490428979635315e-02,8.227863360978819943e-03
7.000000000000000000e+00,8.666666666666666963e-01,3.660820773907302872e-02,7.171958739102590741e-03,4.108055314336613723e-02,7.713189250878276990e-03
7.000000000000000000e+00,9.333333333333333481e-01,3.418610334764582426e-02,5.763378050724392992e-03,3.828317099313194305e-02,6.249109470464055821e-03
7.000000000000000000e+00,1.000000000000000000e+00,3.159275538598858846e-02,5.212700085925902477e-03,3.545307210575006363e-02,5.889139590810135889e-03
8.000000000000000000e+00,0.000000000000000000e+00,1.096641944223004372e-01,3.050948066046738419e-02,1.204787365427003043e-01,3.205833149605959165e-02
8.000000000000000000e+00,6.666666666666666574e-02,1.316142082585886053e-01,3.465190317400128339e-02,1.437990846509063780e-01,3.626484249994825493e-02
8.000000000000000000e+00,1.333333333333333315e-01,1.377903655664666771e-01,3.069055526633865036e-02,1.505774072245093242e-01,3.225460119719387314e-02
8.000000000000000000e+00,2.000000000000000111e-01,1.324073839288116838e-01,2.556221212094062639e-02,1.446073574848518450e-01,2.690252676358147535e-02
8.000000000000000000e+00,2.666666666666666630e-01,1.166557119727802683e-01,2.301473464164739344e-02,1.279489190616475147e-01,2.450721914191935150e-02
8.000000000000000000e+00,3.333333333333333148e-01,1.003225075880617156e-01,2.074313670524181169e-02,1.105326047445713833e-01,2.232081679631315457e-02
8.000000000000000000e+00,4.000000000000000222e-01,8.596324159803118981e-02,1.961765227668228750e-02,9.490302069677453156e-02,2.116215272813403228e-02
