idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
3.000000000000000000e+00,2.666666666666666630e-01,3.183253251009016994e-03,1.638307690437472311e-04,7.474684276898344200e-03,1.617981269629857177e-03
3.000000000000000000e+00,3.333333333333333148e-01,3.183308746865998445e-03,1.638307907239262319e-04,7.474740204055662675e-03,1.617990656070289381e-03
3.000000000000000000e+00,4.000000000000000222e-01,3.183386203592645635e-03,1.638311895094830004e-04,7.474820701655993799e-03,1.618005036269140303e-03
3.000000000000000000e+00,4.666666666666666741e-01,3.183484956077417202e-03,1.638320956632091110e-04,7.474926026867008411e-03,1.618024699163981292e-03
3.000000000000000000e+00,5.333333333333333259e-01,3.183603777799377116e-03,1.638335674934745232e-04,7.475055399690005466e-03,1.618049602199841518e-03
3.000000000000000000e+00,5.999999999999999778e-01,3.183741126998079936e-03,1.638356078543425228e-04,7.475207347855080883e-03,1.618079469550936025e-03
3.000000000000000000e+00,6.666666666666666297e-01,3.183895433938929449e-03,1.638381865333630007e-04,7.475380136389001007e-03,1.618113913923095422e-03
3.000000000000000000e+00,7.333333333333332815e-01,3.184065291496824754e-03,1.638412587835161196e-04,7.475572078236515997e-03,1.618152529446859273e-03
3.000000000000000000e+00,8.000000000000000444e-01,3.184249538841463743e-03,1.638447772869064552e-04,7.475781697512669070e-03,1.618194945306501362e-03
3.000000000000000000e+00,8.666666666666666963e-01,3.184447272751021827e-03,1.638486984158267121e-04,7.476007784889389385e-03,1.618240848574821478e-03
3.000000000000000000e+00,9.333333333333333481e-01,3.184657822487976190e-03,1.638529847045783780e-04,7.476249392060885408e-03,1.618289988194082521e-03
3.000000000000000000e+00,1.000000000000000000e+00,3.184880712507153714e-03,1.638576053411115198e-04,7.476505799260083941e-03,1.618342169464688637e-03
4.000000000000000000e+00,0.000000000000000000e+00,6.927482618531958722e-03,7.727290514690886422e-04,1.493960977658616990e-02,3.798101114596449859e-03
4.000000000000000000e+00,6.666666666666666574e-02,6.927176791779475484e-03,7.727264835118499708e-04,1.493940047617492786e-02,3.798101190971646390e-03
4.000000000000000000e+00,1.333333333333333315e-01,6.926779459874530913e-03,7.727256165987966916e-04,1.493921290213030828e-02,3.798130347186266537e-03
4.000000000000000000e+00,2.000000000000000111e-01,6.926366480201538896e-03,7.727254246049201653e-04,1.493905767205932003e-02,3.798173604131008414e-03
4.000000000000000000e+00,2.666666666666666630e-01,6.926056321177680684e-03,7.727262357578670599e-04,1.493897816136004891e-02,3.798218794064858912e-03
4.000000000000000000e+00,3.333333333333333148e-01,6.925908118550379300e-03,7.727288092647524110e-04,1.493899880686459097e-02,3.798261733815508183e-03
4.000000000000000000e+00,4.000000000000000222e-01,6.925919442859885047e-03,7.727338411969488516e-04,1.493911964788740936e-02,3.798304227844688172e-03
4.000000000000000000e+00,4.666666666666666741e-01,6.926065030125984519e-03,7.727417577081815373e-04,1.493933027744175947e-02,3.798349452734639618e-03
4.000000000000000000e+00,5.333333333333333259e-01,6.926318882653546491e-03,7.727526954075528620e-04,1.493961862776613594e-02,3.798399738646682060e-03
4.000000000000000000e+00,5.999999999999999778e-01,6.926659937155771329e-03,7.727665760821802576e-04,1.493997377298046485e-02,3.798456300808942827e-03
4.000000000000000000e+00,6.666666666666666297e-01,6.927072003145973329e-03,7.727832018706782451e-04,1.494038649210177594e-02,3.798519585294409927e-03
4.000000000000000000e+00,7.333333333333332815e-01,6.927542688866926250e-03,7.728023314755273158e-04,1.494084924786784167e-02,3.798589629400177595e-03
4.000000000000000000e+00,8.000000000000000444e-01,6.928062447049044073e-03,7.728237277426976571e-04,1.494135600938316377e-02,3.798666300330741201e-03
4.000000000000000000e+00,8.666666666666666963e-01,6.928623868340045774e-03,7.728471815537200917e-04,1.494190202770597983e-02,3.798749424555376668e-03
4.000000000000000000e+00,9.333333333333333481e-01,6.929221180526481949e-03,7.728725203827535670e-04,1.494248361302627330e-02,3.798838845617788160e-03
4.000000000000000000e+00,1.000000000000000000e+00,6.929849903576704856e-03,7.728996084405730582e-04,1.494309794007958429e-02,3.798934441328349638e-03
5.000000000000000000e+00,0.000000000000000000e+00,7.769175943484318142e-04,1.616859791986130707e-04,6.359094081562188458e-03,1.852366020813933081e-03
5.000000000000000000e+00,6.666666666666666574e-02,7.767916430912128606e-04,1.616867871630169485e-04,6.359053124018587862e-03,1.852353515720986691e-03
5.000000000000000000e+00,1.333333333333333315e-01,7.767517504739979454e-04,1.616870593429494307e-04,6.359041722514888369e-03,1.852349554526622633e-03
5.000000000000000000e+00,2.000000000000000111e-01,7.767751193289736253e-04,1.616867773770539472e-04,6.359049247672247593e-03,1.852350941089637212e-03
5.000000000000000000e+00,2.666666666666666630e-01,7.768502682004136371e-04,1.616861443870933697e-04,6.359073071378546979e-03,1.852357387098585179e-03
5.000000000000000000e+00,3.333333333333333148e-01,7.769687624169141667e-04,1.616854455763254916e-04,6.359113539740412525e-03,1.852369535945257335e-03
5.000000000000000000e+00,4.000000000000000222e-01,7.771226832226347083e-04,1.616849450966438139e-04,6.359171543473493907e-03,1.852388032008713123e-03
5.000000000000000000e+00,4.666666666666666741e-01,7.773044597440449547e-04,1.616848315685973667e-04,6.359247407870334025e-03,1.852413157378114249e-03
5.000000000000000000e+00,5.333333333333333259e-01,7.775074137593290802e-04,1.616852083003372461e-04,6.359340695853979257e-03,1.852444801357791939e-03
5.000000000000000000e+00,5.999999999999999778e-01,7.777261530671707689e-04,1.616861102374415676e-04,6.359450445013931086e-03,1.852482582703125682e-03
5.000000000000000000e+00,6.666666666666666297e-01,7.779566262410748424e-04,1.616875287107584274e-04,6.359575478696661427e-03,1.852525996835849807e-03
5.000000000000000000e+00,7.333333333333332815e-01,7.781959659605617273e-04,1.616894328721597373e-04,6.359714634293437904e-03,1.852574526616788432e-03
5.000000000000000000e+00,8.000000000000000444e-01,7.784422548312518696e-04,1.616917842785656418e-04,6.359866885154542154e-03,1.852627705263325741e-03
5.000000000000000000e+00,8.666666666666666963e-01,7.786942909337925961e-04,1.616945451642273063e-04,6.360031383733455966e-03,1.852685142245426341e-03
5.000000000000000000e+00,9.333333333333333481e-01,7.789513885965896429e-04,1.616976823625155386e-04,6.360207459627974236e-03,1.852746526834697345e-03
5.000000000000000000e+00,1.000000000000000000e+00,7.792132239471023531e-04,1.617011686089999604e-04,6.360394597146440919e-03,1.852811620649884999e-03
6.000000000000000000e+00,0.000000000000000000e+00,1.878849093273423417e-03,3.610652437062280358e-04,9.594852347508935758e-03,2.762506631205702366e-03
6.000000000000000000e+00,6.666666666666666574e-02,1.878776731914650385e-03,3.610637390272636023e-04,9.594787771589499345e-03,2.762488726798134706e-03
6.000000000000000000e+00,1.333333333333333315e-01,1.878754312798708434e-03,3.610632764732786873e-04,9.594769671893906351e-03,2.762483071699619805e-03
6.000000000000000000e+00,2.000000000000000111e-01,1.878768759970623385e-03,3.610633177411788630e-04,9.594781627865044821e-03,2.762485005822072279e-03
6.000000000000000000e+00,2.666666666666666630e-01,1.878813202573204532e-03,3.610639675859288688e-04,9.594819306729512540e-03,2.762494184776593219e-03
6.000000000000000000e+00,3.333333333333333148e-01,1.878882650619095613e-03,3.610655425465916779e-04,9.594882850479683964e-03,2.762511654009589153e-03
6.000000000000000000e+00,4.000000000000000222e-01,1.878972837207419080e-03,3.610683405809325761e-04,9.594973251116275040e-03,2.762538455729479907e-03
6.000000000000000000e+00,4.666666666666666741e-01,1.879080028000035220e-03,3.610725420246909062e-04,9.595090711153093574e-03,2.762575078983155706e-03
6.000000000000000000e+00,5.333333333333333259e-01,1.879201085135323319e-03,3.610781985976236176e-04,9.595234358173837172e-03,2.762621410798667045e-03
6.000000000000000000e+00,5.999999999999999778e-01,1.879333517260594558e-03,3.610852669229555026e-04,9.595402595383838856e-03,2.762676919591685720e-03
6.000000000000000000e+00,6.666666666666666297e-01,1.879475449525758656e-03,3.610936515527034393e-04,9.595593555727246690e-03,2.762740877806745769e-03
6.000000000000000000e+00,7.333333333333332815e-01,1.879625534173308670e-03,3.611032392133161901e-04,9.595805430728850810e-03,2.762812530402532132e-03
6.000000000000000000e+00,8.000000000000000444e-01,1.879782839519219964e-03,3.611139199417358900e-04,9.596036641933701136e-03,2.762891191378317665e-03
6.000000000000000000e+00,8.666666666666666963e-01,1.879946744439918525e-03,3.611255974765372758e-04,9.596285897157314990e-03,2.762976284337382519e-03
6.000000000000000000e+00,9.333333333333333481e-01,1.880116851042543981e-03,3.611381927641018241e-04,9.596552181703485104e-03,2.763067349103641521e-03
6.000000000000000000e+00,1.000000000000000000e+00,1.880292918222500409e-03,3.611516437430730472e-04,9.596834720836397783e-03,2.763164031465280713e-03
